Total_disabled_population_Males,Total_disabled_population_Females,Main_worker_Males,Main_worker_Females,Marginal_worker_Less_than_3_months_Males,Marginal_worker_Less_than_3months_Females,Marginal_worker_3to6_months_Males,Marginal_worker_3to6_months_Females,Non_worker_Males,Non_worker_Females,Total_Rural_Urban_Rural,Total_Rural_Urban_Total,Total_Rural_Urban_Urban,Disability_Any_Other,Disability_In_Hearing,Disability_In_Movement,Disability_In_Seeing,Disability_In_Speech,Disability_Mental_Illness,Disability_Mental_Retardation,Disability_Multiple_Disability,Disability_Total,Age_group_0to14,Age_group_15to59,Age_group_60+,Age_group_AgeNotStated,Age_group_Total
3029955,2250027,1651364,355306,38927,19406,201757,114888,1137907,1760427,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
657345,620247,181890,39423,7391,4089,28172,16085,439892,560650,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28549,22812,11071,2742,302,139,2473,1668,14703,18263,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
817580,712293,371172,81710,8115,4949,44791,28561,393502,597073,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
166354,144540,3984,2231,234,179,3426,2831,158710,139299,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
509713,415874,322733,69661,6095,3653,34788,21691,146097,320869,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
136618,147842,42430,9344,1731,1096,6160,3731,86297,133671,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4895,4037,2025,474,55,21,417,308,2398,3234,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
894158,785028,410282,94561,9051,5599,58208,41106,416617,643762,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
187585,169384,5776,3471,352,266,5094,4495,176363,161152,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
571071,480262,359811,80754,7146,4401,45867,31821,158247,363286,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
128458,129365,41841,9591,1480,905,6516,4196,78621,114673,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7044,6017,2854,745,73,27,731,594,3386,4651,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
387989,306763,189660,44713,3737,2073,20230,11996,174362,247981,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
73799,58685,1870,1055,120,90,1203,944,70606,56596,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
272035,214751,172293,40102,3179,1760,16898,9858,79665,163031,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
39178,30973,14066,3170,407,206,1865,1065,22840,26532,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2977,2354,1431,386,31,17,264,129,1251,1822,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
866972,534113,364680,64599,10210,3618,41903,14616,450179,451280,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
80766,53114,1368,508,121,50,719,426,78558,52130,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
608747,339730,325843,57815,8372,2858,35674,12047,238858,267010,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
174888,139637,36449,6100,1688,696,5340,2069,131411,130772,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2571,1632,1020,176,29,14,170,74,1352,1368,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
279300,200764,49944,10894,2198,808,8815,4505,218343,184557,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
64705,46376,755,439,69,34,614,474,63267,45429,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
199063,140610,45550,9626,1993,690,7572,3651,143948,126643,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
14280,12869,3367,770,127,81,555,347,10231,11671,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1252,909,272,59,9,3,74,33,897,814,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
132300,94700,19836,4010,1737,611,4778,1830,105949,88249,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13132,9110,182,83,10,7,119,82,12821,8938,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
105122,70262,17846,3469,1591,541,4251,1529,81434,64723,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13518,14816,1745,438,131,60,378,210,11264,14108,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
528,512,63,20,5,3,30,9,430,480,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
900244,734238,402787,96076,10174,5572,59807,38750,427476,593840,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
203388,175544,5114,2963,339,229,4641,3964,193294,168388,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
593745,469990,360562,84245,8524,4607,48796,30800,175863,350338,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
94977,82238,33949,8049,1221,692,5668,3518,54139,69979,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8134,6466,3162,819,90,44,702,468,4180,5135,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
299491,232703,55776,12133,2706,1297,10216,4866,230793,214407,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
72456,50763,763,475,63,38,530,373,71100,49877,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
170459,118548,46726,9634,2027,896,7911,3491,113795,104527,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
55428,62507,8043,1961,606,353,1690,949,45089,59244,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1148,885,244,63,10,10,85,53,809,759,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
204834,156319,60947,6751,9349,7766,23652,13067,110886,128735,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
40792,32599,452,227,362,314,795,675,39183,31383,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
119724,83737,51603,5634,6716,6085,18264,10451,43141,61567,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
44061,39826,8809,882,2263,1362,4574,1932,28415,35650,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
257,157,83,8,8,5,19,9,147,135,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35656,30792,10725,1297,1639,1482,4496,2642,18796,25371,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7317,6139,72,41,82,57,202,141,6961,5900,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17732,14406,8344,1049,987,1039,3077,1958,5324,10360,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10568,10222,2299,207,570,384,1215,542,6484,9089,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39,25,10,0,0,2,2,1,27,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42744,31352,17339,1598,1705,1554,4771,2888,18929,25312,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8818,7664,132,56,69,70,164,176,8453,7362,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25079,15747,15059,1320,1110,1181,3511,2250,5399,10996,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8757,7904,2109,219,524,302,1087,460,5037,6923,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
90,37,39,3,2,1,9,2,40,31,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11351,7330,3148,324,552,311,1553,660,6098,6035,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3340,2194,27,13,41,33,65,42,3207,2106,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7013,4409,2835,281,456,258,1336,566,2386,3304,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
979,721,280,30,53,20,150,52,496,619,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
19,6,6,0,2,0,2,0,9,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35145,22992,9541,1029,1821,1051,4238,1643,19545,19269,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4624,3230,38,23,40,23,47,58,4499,3126,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
21895,13283,8085,894,1359,826,3368,1322,9083,10241,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8606,6459,1413,110,422,202,822,263,5949,5884,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20,20,5,2,0,0,1,0,14,18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9798,6926,1762,236,388,262,855,477,6793,5951,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2200,1657,20,8,18,14,30,29,2132,1606,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6754,4582,1573,208,332,230,738,414,4111,3730,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
841,682,169,20,38,17,86,33,548,612,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,5,0,0,0,1,1,1,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8810,6859,1948,233,477,494,953,603,5432,5529,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1272,975,9,5,8,6,16,12,1239,952,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6377,4810,1719,200,406,456,843,554,3409,3600,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1151,1068,219,28,61,31,94,37,777,972,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10,6,1,0,2,1,0,0,7,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36852,30105,12833,1616,1728,1843,4724,3112,17567,23534,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8425,7219,118,66,66,79,211,172,8030,6902,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
22897,17764,11287,1391,1382,1540,3864,2614,6364,12219,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5462,5082,1409,156,278,224,645,321,3130,4381,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
68,40,19,3,2,0,4,5,43,32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
24478,19963,3651,418,1039,769,2062,1042,17726,17734,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4796,3521,36,15,38,32,60,45,4662,3429,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11977,8736,2701,291,684,555,1527,773,7065,7117,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7697,7688,911,112,317,182,475,224,5994,7170,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,18,3,0,0,0,0,0,5,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
154892,119060,40896,4558,8440,6851,19986,10638,85570,97013,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32623,26040,324,170,333,289,577,492,31389,25089,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87155,62162,33770,3674,6040,5321,15454,8536,31891,44631,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
34930,30737,6756,709,2063,1236,3940,1604,22171,27188,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
184,121,46,5,4,5,15,6,119,105,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27019,23123,7281,843,1486,1267,3840,2139,14412,18874,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5720,4782,44,29,77,54,157,114,5442,4585,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12785,10308,5450,640,897,879,2631,1561,3807,7228,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8482,8014,1779,174,512,332,1050,463,5141,7045,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,19,8,0,0,2,2,1,22,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
29201,22688,9816,970,1547,1405,3898,2311,13940,18002,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6652,5809,91,31,63,66,105,111,6393,5601,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
15664,10991,8117,759,1001,1058,2856,1812,3690,7362,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6827,5860,1592,178,482,280,930,387,3823,5015,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
58,28,16,2,1,1,7,1,34,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9096,5776,2301,234,505,284,1382,572,4908,4686,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2832,1808,20,10,38,30,48,32,2726,1736,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5484,3403,2067,200,415,238,1195,493,1807,2472,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
764,560,209,24,51,16,137,47,367,473,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
16,5,5,0,1,0,2,0,8,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
28978,18794,7544,792,1669,942,3776,1460,15989,15600,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4004,2789,31,22,38,21,41,52,3894,2694,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
17907,10887,6352,684,1247,736,2988,1181,7320,8286,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7050,5104,1159,85,384,185,746,227,4761,4607,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17,14,2,1,0,0,1,0,14,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7121,5093,1156,157,355,237,729,397,4881,4302,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1691,1276,14,6,17,14,23,20,1637,1236,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4823,3312,1033,139,302,206,635,350,2853,2617,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
606,502,109,12,36,16,71,27,390,447,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,3,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6447,5134,1405,169,400,370,787,495,3855,4100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
