Total_disabled_population_Persons,Total_disabled_population_Males,Total_disabled_population_Females,Main_worker_Persons,Main_worker_Males,Main_worker_Females,Marginal_worker_Less_than_3_months_Persons,Marginal_worker_Less_than_3_months_Males,Marginal_worker_Less_than_3months_Females,Marginal_worker_3to6_months_Persons,Marginal_worker_3to6_months_Males,Marginal_worker_3to6_months_Females,Non_worker_Persons,Non_worker_Males,Non_worker_Females,cluster
0.018407911,0.019884787,0.016536139,0.0008832701,0.0007714749,0.0012859621,0.005377538,0.0055105905,0.0052074078,0.002483296,0.0025231622,0.00242645,0.028052544,0.036481995,0.02076399,0
0.0927216,0.10848243,0.07274656,0.12871854,0.13506484,0.10585887,0.13648978,0.1558766,0.111700445,0.12782829,0.14581716,0.10217778,0.07201829,0.082125954,0.06327866,2
0.038960963,0.038218465,0.039901994,0.024157373,0.025409082,0.019648658,0.049104787,0.052096833,0.04527895,0.028544324,0.031429112,0.024430878,0.04599092,0.047576685,0.044619787,0
0.00041267957,0.00044327043,0.0003739092,0.00039114818,0.00039323993,0.00038361351,0.0004051802,0.0004501524,0.00034767558,0.00044556634,0.00049962057,0.00036848988,0.00041755982,0.00046843212,0.0003735729,0
0.038258445,0.039469883,0.036723092,0.021403868,0.020710332,0.023902021,0.04229132,0.04573428,0.037888914,0.032558102,0.03369228,0.030940866,0.045738205,0.05309112,0.03938048,0
0.010611712,0.01094032,0.01019524,0.00050114514,0.00039141005,0.00089641643,0.0031261602,0.0031087708,0.0031483956,0.0014586773,0.0013907934,0.0015554739,0.016170543,0.020091038,0.012780671,0
0.025181433,0.026224077,0.023860006,0.018959729,0.018425185,0.020885184,0.035705023,0.039145134,0.031306256,0.028654795,0.029851938,0.026947776,0.026920483,0.030482702,0.023840396,0
0.0023448076,0.002179791,0.0025539468,0.0018635037,0.0018196268,0.002021551,0.0033482464,0.0033595269,0.0033338226,0.0023079233,0.002310158,0.0023047368,0.0025116855,0.0023580783,0.0026445028,0
0.00012049229,0.00012569559,0.00011389771,7.949001e-05,7.41099e-05,9.886946e-05,0.00011189077,0.000120846285,0.00010043962,0.00013670785,0.00013939258,0.00013287968,0.00013549606,0.00015930229,0.00011491189,0
0.018492639,0.018911581,0.017961677,0.010198641,0.009996236,0.010927712,0.025392422,0.027846005,0.0222551,0.016362134,0.016975353,0.015487741,0.021917673,0.025005281,0.01924796,0
